subplot,Treat,Treat2,ALLGEY,ANDSEP,AREFEN,ARTSCO,BISBIS,CALPUR,CAMROT,CARRUP,CASOCC,CERARV,DRABA,ERINAN,ERIPIN,FESBRA,GEUROS,HELMOR,HERBWHITE,KOBMYO,LLOSER,LUZSPI,MERLAN,MINOBT,OREALP,PACCAN,PARPUL,PHLOX,POASPP,SAXRHO,SEDLAN,SILENE,TETACA,TETGRA,TONPYG,TRIDAS,TRINAN
4N,N,Tundra,0,0,6.59,1.65,0.55,0,11.54,10.44,0,2.75,0,0,2.75,1.65,2.75,0,0,0,0,0,0,9.89,8.79,0,0,0,4.4,0,0,0,0,2.75,0,33.52,0
4S,S,Tundra,0,0,15.6,9.63,0.46,0,0,16.51,0,0,0,2.29,5.5,2.29,4.13,0,0,0,2.29,0,0,2.29,9.63,0,0,0,0,0,2.29,0,0,0.92,11.01,15.14,0
5C,C,Cushion,0,0,0,12.5,0.69,6.25,3.47,13.89,0,0,0,0,0,3.47,0,3.47,0,0,4.17,0,0,0,15.97,0,0,0,0,0,0,0,0,0.69,0,20.14,15.28
5N,N,Tundra,0,0,7.99,5.02,0,3.53,9.48,3.9,0,0,0,0,2.97,0,0,1.49,0,0,6.32,2.23,0,9.85,2.04,0,9.11,0,0,0,2.79,0,0,0,0,33.27,0
5S,S,Tundra,0,0,5.59,5.03,0.19,0,5.21,7.08,0,0,0,0,0,0,0.37,0,0,0,3.17,0,0.19,14.71,4.28,0,9.12,0,2.23,0,5.21,0,0.93,0.19,0,25.7,10.8
6C,C,Cushion,0,0,10.2,14.97,0,3.4,0,4.76,0,0,0,0,0,13.61,0,0,0,0,8.84,4.76,0,0,12.93,0,0,1.36,8.16,0,0,0,1.36,0,0,15.65,0
6N,N,Tundra,0,0,18.89,7.78,0,0,4.44,20,0,0,0,3.33,0,0,5.56,0,0,16.67,2.22,0,0,11.11,4.44,0,0,0,0,0,0,0,5.56,0,0,0,0
6S,S,Tundra,0,0,5.34,15.27,0,5.73,0.38,11.07,0,0,0,1.15,0,0,0,1.91,0,0,1.91,0,0,5.73,11.07,0,3.05,0,0,0,0,3.82,0.38,0,0,33.21,0
7C,C,Cushion,0,0,0,0,0,0,3.88,11.17,0,1.46,0,0,0,5.83,0,0,0,0,20.39,0,2.43,0,31.55,0,0,1.94,1.46,0,0,0,5.83,0,0,14.08,0
7N,N,Tundra,0,0,1.69,0,0.68,0,3.39,24.41,0,1.69,0,0,2.37,0,0,0,0,0,3.05,0,1.69,0,15.25,0,0,0,0,0,1.69,0,9.15,0,0,34.92,0
7S,S,Tundra,0,0,9.07,2.93,0.27,0,10.93,21.6,0,0,0,4.53,2.93,1.33,0.27,0,0,0,7.73,0,0,14.67,6.4,0,0,1.33,0,0,0,0,9.33,0,0,6.67,0
8C,C,Cushion,0,0,0,0,0.57,0,2.84,9.66,0,3.41,0,0,0,2.84,0,6.82,0,0,20.45,0,2.27,0,24.43,0,0,13.64,0,0,0,0,0,0,0,0,13.07
8N,N,Tundra,0,0,2.69,0,0.67,0,7.74,15.49,0,4.71,0,0,12.46,1.68,0,0,0,0,2.02,0,0.34,2.69,13.8,0,0,0,1.68,0,0,0,0,0,0,15.15,18.86
8S,S,Tundra,0,0,17.74,0,0,8.6,10.75,18.82,0,2.15,0.54,0,11.83,2.69,0,0,0,0,2.69,0,0.54,8.06,10.22,0,0,2.69,0,0,2.69,0,0,0,0,0,0
9C,C,Cushion,0,0,5.21,0,0,4.17,2.08,9.9,0,4.69,0,0,2.6,4.17,0,0,0,0,31.77,0,0.52,0,16.15,0,0,3.13,5.21,0,0,0,10.42,0,0,0,0
9N,N,Tundra,0,0,0,0,0.3,0,5.97,9.85,0,0.3,0,2.69,4.48,0,0.3,0,0,0,8.36,0,0,1.49,11.64,0,3.58,0,1.49,0,0.6,0,0,0,0,48.96,0
9S,S,Tundra,0,0,3.51,0,0.96,2.88,13.1,18.21,0,4.47,0.32,6.39,6.39,7.99,1.6,0,0,0,7.99,0.32,0.32,0,3.19,0,0,0,2.24,0,6.07,0,14.06,0,0,0,0
10C,C,Cushion,0,0,0,2.58,0,0,0,23.87,0,0,0,0,0,4.52,6.45,9.68,0,0,12.26,0,0.65,0,35.48,0,0,0,3.23,0,0,0,1.29,0,0,0,0
10N,N,Tundra,0,0,8.62,13.79,0.57,0,1.72,32.18,0,0,0,0,11.49,0,1.72,0,1.15,0,5.75,1.15,2.87,7.47,11.49,0,0,0,0,0,0,0,0,0,0,0,0
10S,S,Tundra,0,0,14.84,0,0.78,3.91,6.25,20.31,0,0,0,0,2.34,0,1.17,0,0,0,5.47,0,0,1.95,13.28,0,0,0,0,0,4.69,0,24.61,0.39,0,0,0
11C,C,Cushion,0,0,1.75,0,0.7,0,1.4,11.93,0,0,0,0,4.21,0,0,0,0,0,10.53,0,0,2.11,14.74,9.47,0,2.11,0,0,0,0,12.98,0.35,0,27.72,0
11N,N,Tundra,0,0,7.78,0,0,0,4.79,22.75,0,0,0,1.5,20.66,2.4,0.3,0,0,0,1.5,0,0.9,3.29,9.58,0,0,0.9,2.69,0.3,4.79,0,2.69,0,0,13.17,0
11S,S,Tundra,0,0,4.97,3.98,0.2,3.38,4.97,13.72,0,0,0,0,1.39,0.4,0,0,0,0,0.4,0,0.99,7.36,8.75,1.99,0,0,0,0.2,3.58,0,14.31,0,0,29.42,0
12C,C,Cushion,0,0,3.69,0,0,0,0,16.59,0,0,0,0,2.76,0,1.38,4.61,0,0,18.89,0,2.3,0,35.02,0,0,10.6,2.3,0,0,0,1.84,0,0,0,0
12N,N,Tundra,0,0.31,12.73,0,0.93,0,7.76,28.26,0.31,0,0,5.9,7.45,1.55,1.55,0,0,0,7.76,0.62,0.62,5.28,3.11,0,0,0,0,0,4.35,0,11.49,0,0,0,0
12S,S,Tundra,0,0,4.05,1.01,0,4.73,11.49,20.27,2.36,0,0,12.5,6.08,2.36,6.08,0,0,0,2.7,0,0.68,3.38,0,0,0,0,0,0,1.69,0,2.36,0,0,18.24,0
13C,C,Cushion,0,0,7.2,0,0,0,4,12.8,0,0,0,0,0.8,12,3.2,5.6,0,0,14.4,0,2.4,0,31.2,0,0,0,0,0,0,0,6.4,0,0,0,0
13N,N,Tundra,4.48,0,0,2.69,0.45,9.87,10.76,14.8,0,0,0,8.07,0,2.24,4.04,0,0,0,10.31,0,2.69,8.97,11.21,0,0,0,0,0.45,6.28,0,2.69,0,0,0,0
13S,S,Tundra,0,0,0,0,0.33,0,1.64,9.54,0,0,0.33,0,0,1.64,0.33,2.63,0,0,4.93,0,1.64,7.57,10.2,0,0,0,1.64,0,0,0,4.28,0,0,53.29,0
14C,C,Cushion,0,0,0,0,0.6,0,1.81,9.64,0,0,0,0,6.02,3.01,3.61,0,0,0,31.93,0,4.22,0,34.34,0,0,0,3.01,0,0,0,1.81,0,0,0,0
