"taxonobservation_id","observation_type","scrubbed_family","scrubbed_species_binomial","latitude","longitude","elevation_m","country","state_province","county","locality_description","plot_name","is_new_world","is_geovalid","event_date","date_collected","plot_sampling_protocol","identified_by","datasource","datasource_id","dataset","dataowner","custodial_institution_codes","collection_code","collector","collection_number","is_cultivated","nsr_native_status","nsr_is_introduced",
"22876601","specimen","Bignoniaceae","Chilopsis linearis","29.6400000000000006","-106.340000000000003","1766","Mexico","Chihuahua","","12.6 miles S of Callego along hwy 45; <Conabio: 106.34 29.64>{bignon-34432}","","1","1","","1975-07-18","","J. Henrickson,","MO","281","MO","MO","MO","","Karen L. Wallace & et al.","193","0","UNK","",
"22889640","specimen","Bignoniaceae","Chilopsis linearis","29.8104654010655992","-103.251421133492997","","United States","Texas","Brewster","Glenn Springs","","1","","","1921-07-19","","J. Henrickson, 1985 (CSLA)","MO","281","MO","MO","MO","","Roxana S. Ferris & Carl D. Duncan","3143","0","P","0",
"22896613","specimen","Bignoniaceae","Chilopsis linearis","","","","United States","Texas","","Presido Texas","","1","","","1900-08-09","","J. Henrickson, 1985 (CSLA)","MO","281","MO","MO","MO","","William Trelease","346","0","P","0",
"23034155","specimen","Bignoniaceae","Chilopsis linearis","32.7680193373965025","-96.7793077421794976","","United States","Texas","Dallas","","","1","","","1892-02-01","","J. Henrickson, 1985 (CSLA)","MO","281","MO","MO","MO","","Revenchon","s.n","0","P","0",
"23345735","specimen","Bignoniaceae","Chilopsis linearis","31.7686176068258987","-106.235947599957001","","United States","Texas","El Paso","Canyons near Van Horn","","1","","","1900-07-08","","J. Henrickson, 1985 (CSLA)","MO","281","MO","MO","MO","","Heinrich K.D. Eggert","s.n.","0","P","0",
"27678741","specimen","Bignoniaceae","Chilopsis linearis","26.6700000000000017","-103.739000000000004","1265","Mexico","Durango","MAPIMI","Arroyo El Puma","","1","0","","1985-09-25","","Rosario Ruiz de Esparza","GBIF","1400","INECOL-CRD","INECOL-CRD","INECOL-CRD","INECOL-CRD","Rosario Ruiz de Esparza","","","UNK","",
"38459926","specimen","Bignoniaceae","Chilopsis linearis","32.4887000000000015","-110.6995","","United States","Arizona","Pima","Puschs Ranch, Steam Pump. .","","1","1","","1905-05-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","J.J. Thornber","","","P","0",
"38463781","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","Cochise County","Coronado National Monument; southern Huachuca Mountains; big wash north of highway near east entrance","","","","","1990-07-16","","","GBIF","397","ASU","ASU","ASU","ASUPlants","Bruce D. Parfitt","","","","",
"38465740","specimen","Bignoniaceae","Chilopsis linearis","34.5256299999999996","-101.206877000000006","","United States","Texas","Briscoe","Briscoe County, Texas","","1","1","","","","","GBIF","102","USDA NRCS","USDA NRCS","USDA NRCS","USDA Plants","","","","P","0",
"38474096","specimen","Bignoniaceae","Chilopsis linearis","","","304.800000000000011","United States","California","San Diego County","Mouth of Palm Canyon, Borego [Borrego] Valley","","1","","","1932-05-02","","","GBIF","1092","CAS","CAS","CAS","DS","Victor Duran","","","P","0",
